"Matricules";"Q1/2";"Q2/2";"Q3/2";"Q4/2";"Q5/2";"Global/10";"Global arrondi/10"
1471713;1,01;0,25;1,9;0,75;1;4,91;5
2231572;;;;;;;
2011421;1,89;2,00;1,9;2;1,9;9,69;9,75
1931613;1,12;0,50;2;0,75;2;6,37;6,5
1949905;1,34;0,00;1,95;0,75;1,25;5,29;5,5
1945146;1,57;0,50;2;0,5;1,8;6,37;6,5
2011048;1,62;1,25;1,9;0,5;1,9;7,17;7,25
2239018;1,46;0,00;2;0,5;1,8;5,76;6
2226756;1,62;0,25;2;1;1,9;6,77;7
1947914;1,73;0,50;2;1;1,9;7,13;7,25
1992767;1,67;0,75;1,75;0,5;1,6;6,27;6,5
2161236;1,78;0,75;1,9;2;2;8,43;8,5
1954776;1,56;0,25;2;1;0,75;5,56;5,75
1956576;1,78;1,40;2;2;1;8,18;8,25
2161326;1,4;1,25;2;2;2;8,65;8,75
2044056;1,51;1,25;1,5;0,5;1,7;6,46;6,5
2232055;2;1,65;1,9;0,5;1,8;7,85;8
2232077;1,51;0,25;1,9;0,5;1,8;5,96;6
2232112;1,56;2,00;2;2;1,5;9,06;9,25
2232134;1,45;0,00;2;1,25;1,4;6,10;6,25
1950849;1,78;1,00;2;0,5;1,9;7,18;7,25
1924018;0,96;0,25;2;0,5;0,5;4,21;4,25
2017001;1,73;1,25;2;2;1,6;8,58;8,75
2227847;1,29;0,85;0,5;1;1,6;5,24;5,25
2232279;2;2,00;2;0,75;1,9;8,65;8,75
1944066;1,62;0,25;1,5;1,5;0,5;5,37;5,5
1947025;1,23;0,50;1,95;0,5;0,9;5,08;5,25
2239053;2;0,25;1,9;0,75;1,9;6,80;7
1883619;1,56;0,25;1,9;0,5;1,8;6,01;6,25
1886657;1,95;0,60;2;0,5;0;5,05;5,25
1909765;1,45;0,50;2;0,5;1,8;6,25;6,25
2204313;1,23;0,00;2;0;0;3,23;3,25
59418;1,62;1,00;2;0,75;1,9;7,27;7,5
1945877;1,78;1,10;2;1,75;0,9;7,53;7,75
2004142;1,78;1,75;1,9;2;2;9,43;9,5
2206181;;;;;;;
2152045;1,78;2,00;2;0,5;1,8;8,08;8,25
2030231;1,51;1,75;2;1;1,8;8,06;8,25
2226633;2;2,00;1,9;1;2;8,90;9
2162002;1,89;2,00;2;2;2;9,89;10
1953797;;;;;;;
1962281;1,56;0,50;1,9;1,75;1,9;7,61;7,75
